content|author
Tôi sẽ cho anh định nghĩa về đạo đức: Luôn tốt khi duy trì và nuôi dưỡng cuộc sống, luôn xấu khi gây thương tổn và phá hủy cuộc sống.|Albert Schweitzer
Bi kịch cuộc đời là những gì chết đi bên trong một người khi anh ta còn sống.|Albert Schweitzer
Nếu tất cả bạn bè tôi định nhảy xuống cầu, tôi sẽ không nhảy theo họ; tôi sẽ ở chân cầu để đỡ họ.|Khuyết danh
Tình yêu chiến thắng tất cả, song con người không thể chỉ sống bằng tình yêu.|Lêbông
Cuộc sống của người ta thay đổi. Để giữ tất cả bạn cũ của mình cũng giống như giữ lại tất cả quần áo cũ – chẳng mấy chốc tủ quần áo sẽ chật cứng và mọi thứ sẽ bị nhàu nát đến nỗi bạn khó tìm thấy đồ để mặc. Hãy giúp đỡ những người bạn này khi họ cần ta, quý những khoảnh khắc hạnh phúc khi mình và bạn có ý nghĩa rất nhiều với nhau, nhưng cố gắng đừng cảm thấy mình có lỗi nếu bây giờ những người bạn mới có ý nghĩa nhiều hơn đối với mình.|Khuyết danh
Cuộc sống một phần là những gì chúng ta làm nên, và một phần được làm nên bởi những người bạn ta chọn làm bạn.|Jehyi Hsieh
Thành công không phải là chìa khóa mở cánh cửa hạnh phúc. Hạnh phúc là chìa khóa dẫn tới cánh cửa thành công. Nếu bạn yêu điều bạn đang làm, bạn sẽ thành công.|Albert Schweitzer
Nhưng hạnh phúc còn là gì ngoài sự hài hòa giản đơn giữa một người và cuộc sống của anh ta?|Albert Camus
Bạn được tha thứ cho hạnh phúc và thành công của mình chỉ khi bạn sẵn sàng hào phóng chia sẻ chúng.|Albert Camus
Chinh phục bất cứ một sự khó khăn nào luôn đem lại cho người ta một niềm vui sướng thầm lặng, bởi điều đó cũng có nghĩa là đẩy lùi một đường ranh giới và tăng thêm tự do của bản thân.|Henri Frederic Amiel
Bạn sẽ không bao giờ hạnh phúc nếu bạn tiếp tục tìm kiếm thành phần của hạnh phúc. Bạn sẽ không bao giờ sống nếu bạn vẫn tìm kiếm ý nghĩa của cuộc đời.|Albert Camus
Cơ bản là có hai loại người. Người làm nên chuyện và người tuyên bố mình làm nên chuyện. Nhóm đầu tiên ít đông hơn.|Mark Twain
Hãy kiên quyết đừng để mình trở nên nghèo túng: hãy sử dụng ít hơn bạn có. Sự nghèo túng là kẻ thù lớn đối với hạnh phúc của con người; nó phá hủy tự do, và nó khiến một vài đức hạnh trở thành không thực tế, và số còn lại cực kỳ khó khăn.|Samuel Johnson
Chỉ có quốc gia thu hút những cái đầu vĩ đại hoặc coi trọng giáo dục mới có thể trở nên giàu có.|Enrics
Người ta thường nói gộp chung khoa học và kiến thức. Đây là một ý kiến sai lệch. Khoa học không chỉ là kiến thức mà còn là ý thức, cũng chính là bản lĩnh vận dụng kiến thức.|Kleiloyev
Học vấn do người siêng năng đạt được, tài sản do người tinh tế sở hữu, quyền lợi do người dũng cảm nắm giữ, thiên đường do người lương thiện xây dựng.|Franklin
Chúng ta không thể dạy bảo cho ai bất cứ điều gì, chúng ta chỉ có thể giúp họ phát hiện ra những gì còn tiềm ẩn trong họ.|Galileo
Trường học có thể hô biến những người thắng và người bại, nhưng cuộc sống thì không.|Bill Gates
Nhiệm vụ của một trường đại học tiến bộ không phải là cung cấp những câu trả lời thích hợp, mà chính phải là đặt ra các câu hỏi thích hợp.|Cynthia Ozick
Nhà trường chỉ cho chúng ta chiếc chìa khóa tri thức, học trong cuộc sống là công việc cả đời.|Bill Gates
Giáo dục là vũ khí mạnh nhất mà người ta có thể sử dụng để thay đổi cả thế giới.|Nelson Mandela
Pháp luật không sinh ra những nhân vật vĩ đại, chỉ có tự do mới có thể tạo nên vĩ nhân và anh hùng.|Cicero
Thế gian có những việc, hứng thú khi theo đuổi luôn vui hơn khi hưởng thụ.|Shakespeare
Người nào yêu thực sự người đó không ghen. Thực chất của tình yêu là lòng tự tin. Tước bỏ lòng tin trong tình yêu tức là tước bỏ nền tảng tạo nên sức mạnh và độ bền vững của tình yêu…tước bỏ tính chất cao đẹp của tình yêu.|A. Stan
Kẻ cô đơn chỉ là cái bóng của một con người. Kẻ không được yêu thì dù ở giữa mọi người vẫn thấy cô đơn.|G. Gian
Tình yêu chính là lòng tốt, là ánh sáng nột tâm soi rọi con người và ban cho con người nguồn ấm áp vô tận.|E. Tenlơman
Hạnh phúc lớn nhất ở đời là có thể tin chắc rằng ta được yêu thương - yêu vì chính bản thân ta, hay đúng hơn, yêu bất kể bản thân ta.|Victor Hugo
Tình bạn giống như được no bụng với món thịt bò quay; tình yêu giống như được rượu sâm panh làm phấn chấn.|Samuel Johnson
Tình yêu là ước vọng của con người đã làm tươi đẹp thảo nguyên thế giới của chúng ta.|A. Hinlơ
Tình yêu nào muốn chỉ là tình yêu tinh thần thì sẽ trở nên mờ nhạt. Còn tình yêu nào không có cơ sở tinh thần thì chỉ là điều tầm thường.|H. Senkiêvich
Bạn sẽ giỏi hơn khi giao thiệp với những người giỏi hơn bạn.|Warren Buffett
Quá nhiều người đang dùng số tiền mình kiếm được để mua những thứ họ không thích và gây ấn tượng với những kẻ họ chẳng ưa.|Will Rogers
Một người thông minh nên đặt tiền ở trong đầu, chứ không phải trong tim.|Jonathan Swift
Hãy coi mỗi ngày là một tài khoản ngân hàng, và thời gian chính là tiền tệ. Chẳng ai giàu và cũng chẳng ai nghèo. Tất cả chúng ta đều có 24 giờ.|Christopher Rice
Cách bạn đối phó với thất bại sẽ quyết định cách bạn gặt hái thành công.|David Feherty
Tiết kiệm là đức tính bao gồm toàn bộ các ưu điểm khác.|Cicero
Kiến thức là khoản đầu tư sinh lời lớn nhất.|Benjamin Franklin
Tôi sẽ nói cho anh bí mật làm giàu tại Wall Street. Hãy tham lam khi người khác sợ hãi. Và hãy sợ hãi khi người khác tham lam.|Warren Buffett
Thu nhập hàng năm là 20 bảng, chi phí là 19, bạn sẽ cảm thấy hạnh phúc. Còn nếu thu nhập hàng năm 20 bảng, chi phí là 20,6 bảng, bạn sẽ thấy đau khổ.|Charles Dickens
Khi chúng ta làm điều mình thực sự yêu thích, tiền bạc sẽ tự tìm đến, các cánh cửa sẽ mở ra. Chúng ta cảm thấy mình hữu ích và công việc như một trò chơi vậy.|Julia Cameron
Tôi không bao giờ cố kiếm tiền trên thị trường chứng khoán. Tôi mua cổ phiếu với giả thiết họ có thể đóng cửa thị trường vào ngày hôm sau và 10 năm nữa mới mở lại.|Warren Buffett
Đừng bao giờ tiêu tiền trước khi bạn có chúng.|Thomas Jefferson
Rất nhiều người không quan tâm đến tiền của mình cho đến khi gần khánh kiệt. Họ cũng làm như vậy với thời gian.|Johann Wolfgang von Goethe
Giáo dục trong nhà trường sẽ giúp bạn kiếm sống, còn tự học sẽ mang đến cho bạn cả gia tài.|Jim Rohn
Tiền bạc chỉ là một công cụ. Nó sẽ đưa bạn đi khắp mọi nơi bạn muốn, nhưng bạn phải là người lái xe.|Ayn Rand
An toàn tài chính không phải là có đủ tiền mua đồ. Mà là học cách sống với ít tiền hơn số bạn kiếm được. Vì thế, bạn có thể giúp đỡ người khác hoặc đi đầu tư. Bạn không phải là người chiến thắng cho đến khi làm được điều đó.|Dave Ramsey
Người nghèo không phải là người có ít, mà là người mong muốn ít.|Seneca
Ông chủ không phải là người trả lương cho bạn. Họ chỉ giữ tiền hộ bạn thôi. Khách hàng mới là người trả lương thực sự.|Henry Ford
Người giàu có TV nhỏ và thư viện lớn, còn người nghèo thì ngược lại.|Zig Ziglar
Mất tiền là mất lớn, mất bạn bè là mất lớn hơn, còn mất niềm tin là mất tất cả.|Eleanor Roosevelt
Hạnh phúc không đơn thuần là có tiền, mà là niềm vui vì đã nỗ lực và có thành quả.|Franklin D. Roosevelt
Con người sẽ không bao giờ bị cản trở khi nhẵn túi. Họ chỉ bị kéo tụt khi có cái đầu và trái tim rỗng tuếch.|Norman Vincent Peale
Có tiền và những thứ mua được bằng tiền là điều tốt. Nhưng cũng đừng quên thỉnh thoảng kiểm tra liệu bạn có để mất thứ gì không mua được bằng tiền hay không.|George Lorimer
Bạn chỉ có thể hoàn thành những việc mình thật sự yêu thích. Đừng lấy tiền làm mục tiêu. Thay vào đó, hãy theo đuổi những thứ mình đam mê, và làm thật tốt để người khác không thể rời mắt khỏi bạn.|Maya Angelou
Hãy mua khi mọi người đang bán và giữ lại khi người ta đang mua. Đây chẳng phải khẩu hiệu bóng bẩy gì, mà là nền tảng để đầu tư thành công.|J. Paul Getty
Nếu hy vọng sẽ được độc lập khi có tiền, bạn sẽ không bao giờ đạt nổi. Trên thế giới này, con người chỉ có thể an toàn khi có kiến thức, kinh nghiệm và khả năng.|Henry Ford
Bạn chẳng kể tên được mấy triệu phú giàu lên chỉ nhờ gửi tiết kiệm đâu.|Robert G. Allen
Đột phá chính là cách phân biệt người đi đầu và kẻ theo sau.|Steve Jobs
Thước đo sự giàu có thực sự là bạn đáng giá bao nhiêu tiền sau khi mất sạch của cải.|Khuyết danh
Tiền bạc là một ông chủ tồi, nhưng là một kẻ hầu xuất sắc.|P. T. Barnum
Hãy cố tiết kiệm khi lương của bạn còn thấp. Vì sau khi kiếm được nhiều hơn, bạn sẽ chẳng thể làm được việc này đâu.|Jack Benny
Sự giàu có được đo bằng mức độ trải nghiệm mọi mặt của cuộc sống.|Henry David Thoreau
Nhà đầu tư cá nhân nên hành động như một nhà đầu tư, thay vì như kẻ đầu cơ.|Ben Graham
Tôi cực kỳ tin tưởng vào may mắn, và tôi phát hiện ra càng làm việc chăm chỉ, vận may của mình càng nhiều.|Thomas Jefferson
Bạn phải học cách kiểm soát tiền của mình, hoặc để tình cảnh thiếu thốn vĩnh viễn kiểm soát bạn.|Dave Ramsey
Đầu tư cũng giống như chờ sơn khô và cỏ mọc vậy. Còn nếu bạn thích vui vẻ, hãy cầm 800 USD và thẳng tiến Las Vegas.|Paul Samuelson
Mỗi lần đi vay tiền, là bạn đã đánh cắp tương lai của chính mình.|Nathan W. Morris
Thị trường chứng khoán đầy rẫy những người rành giá cả mọi thứ, nhưng lại chẳng biết giá trị của cái nào cả.|Phillip Fisher
Vấn đề không phải là bạn làm được bao nhiêu tiền, mà là để dành được bao nhiêu, chúng giúp ích cho bạn thế nào và có thể truyền lại cho mấy đời.|Robert Kiyosaki
Tôi không thất bại. Tôi chỉ tìm ra 10.000 cách chưa thực hiện được mà thôi.|Thomas A. Edison
Thói quen tiết kiệm - bản thân nó đã là một sự giáo dục rồi. Nó củng cố các ưu điểm của bạn, dạy bạn cách từ chối, tư duy theo trật tự, suy nghĩ trước khi hành động và do đó mở rộng trí tuệ cho bạn.|T. T. Munger
Đừng nói cho tôi giá trị của bạn. Chỉ cần cho tôi xem túi tiền, tôi sẽ nói bạn đáng giá bao nhiêu.|Joe Biden
Nếu bạn sống vì muốn có tất cả, bạn sẽ chẳng bao giờ có đủ đâu.|Vicki Robin
Trước khi bạn nói chuyện, hãy lắng nghe. Trước khi tiêu tiền, hãy kiếm ra đã. Trước khi đầu tư, hãy nghiên cứu. Trước khi chỉ trích, hãy chờ đợi. Trước khi cầu nguyện, hãy tha thứ. Trước khi từ bỏ, hãy cố gắng. Trước khi nghỉ hưu, hãy tiết kiệm. Và trước khi chết, hãy cho đi.|William A. Ward
Chúng ta kiếm sống bằng cái chúng ta có, nhưng cuộc đời của ta được tạo thành từ cái ta cho đi.|Winston Churchill
Sự giàu có rốt cục cũng chỉ là một thứ tương đối. Vì một người có ít tiền và ít nhu cầu sẽ giàu hơn những kẻ nhiều tiền nhưng lắm nguyện vọng.|Charles Caleb Colton
Người thành công là người có thể xây được nền tảng vững chắc từ những viên gạch kẻ khác ném vào anh ta.|David Brinkley
Thị trường chứng khoán được tạo ra để chuyển tiền từ túi những kẻ nôn nóng sang những người kiên nhẫn.|Warren Buffett
Tôi giàu có vì tôi biết khi nào mình sai. Về căn bản, tôi cũng tồn tại nhờ việc nhận ra sai lầm của mình.|George Soros
Đừng để nỗi sợ thất bại lấn át niềm vui thành công.|Robert Kiyosaki
Tất nhiên, chúng ta không thể kết nối các dấu ấn tương lai, bạn chỉ có thể móc nối chúng khi nhìn lại quá khứ. Vậy hãy tin rằng các dấu chấm, các sự kiện trong cuộc đời bạn về mặt này hay mặt khác sẽ ảnh hưởng đến tương lai của bạn. Bạn phải có niềm tin vào một thứ gì đó - sự can đảm, số phận, cuộc đời, định mệnh hay bất cứ điều gì - cách nghĩ đó đã tạo nên những sự khác biệt trong cuộc đời tôi.|Steve Jobs
Mặc kệ nó, cứ làm đi!|Richard Branson
Một nhà khởi nghiệp thực sự là những người không cần lưới bảo hộ bên dưới.|Henry Kravis
Miễn là bạn chịu suy nghĩ, hãy cố gắng nghĩ đến những điều lớn lao.|Donald Trump
Nơi duy nhất thành công (success) đến trước lao động (work) là trong từ điển.|Vidal Sassoon
Nếu phụ nữ không tồn tại, mọi tiền bạc trên thế giới này sẽ chẳng có nghĩa lý gì.|Aristotle Onassis
Đừng lúc nào cũng nói không. Nếu hài lòng với việc ngồi tại chỗ và không liều lĩnh, 20 năm tới bạn cũng sẽ vẫn ngồi ở đó thôi.|David Rubenstein
Khi mua cổ phiếu, hãy tự hỏi bản thân, sau này bạn có mua cả công ty hay không?|Rene Rivkin
Nếu cảm thấy khó tưởng tượng việc thua lỗ 20% trên sàn chứng khoán, bạn đừng bao giờ nên tham gia.|John Bogle
Công thức thành công của tôi là dậy sớm, làm muộn và khai thác dầu mỏ.|J. Paul Getty
4 chữ đắt đỏ nhất trong tiếng Anh chính là "Lần này thì khác".|John Templeton
Tôi thích sống như một kẻ nghèo có nhiều tiền.|Pablo Picasso
Của cải chỉ đến với những người dám hành động.|Virgil
Sự giàu có cũng như nước biển. Chúng ta càng uống nhiều thì càng khát. Sự nổi tiếng cũng vậy.|Arthur Schopenhauer
Nếu chúng ta làm chủ được tài sản, chúng ta sẽ tự do và giàu có. Còn nếu để chúng kiểm soát lại, ta sẽ trở thành kẻ nghèo.|Edmund Burke
Một công ty mà chẳng tạo ra được gì khác ngoài tiền là một doanh nghiệp nghèo.|Henry Ford
Nếu kế hoạch A thất bại, bạn còn có 25 chữ cái nữa cơ mà.|Chris Guillebeau
Đừng đi tới nơi mà con đường dẫn đến. Thay vào đó, hãy vào chỗ chưa có đường và để lại dấu chân của mình.|Ralph Waldo Emerson
Chỉ cần tin mình có thể là bạn đã đi được nửa đường rồi.|Theodore Roosevelt
Thiếu tiền là nguồn gốc của mọi tội lỗi.|Mark Twain
Chỉ trong bất hạnh người ta mới biết rằng Thượng đế luôn hướng con người đến những điều thiện hảo.|W. Goethe
Khả năng bẩm sinh tựa như các loại cây cảnh, cần phải được chăm tỉa bằng học vấn.|F. Balcon
Tiền bạc có thể giúp người ta làm nhiều điều tốt nhưng nó không tạo ra được luật lệ.|Picasso
Ai tràn trề hy vọng và nguyện vọng, người đó sống ở tương lai.|L. Sê-phe
Tốt danh hơn giàu của.|Ngạn ngữ Anh
Nói sự thực không chưa đủ. Phải tìm ra cái phần sâu sắc trong sự thực ấy.|Hoài Thanh
Bệnh nặng mới dùng thuốc, cũng như khát nước mới lo đào giếng. Đánh giặc rồi mới rèn gươm, thế chẳng muộn lắm sao?|Tố Vân
Những kẻ cứ làm mà không cần học vấn chẳng khác nào người thuỷ thủ đi trên chiếc tàu không bánh lái, không la bàn và cũng chẳng biết rằng họ sẽ đi đâu.|L. De Vinci
Sai lầm trong công việc là điều hoàn toàn có thể xảy ra. Đó là vấn đề chân lý chứ không phải là vấn đề danh dự.|P. Kapitsa
Nhân loại tiến lên từ từ với những sự ngừng lại, cả những sự thoái lui nhưng cũng tự vươn lên từng bước một đến chỗ hoàn thiện và hạnh phúc.|L. Tônxtôi
Người bạn tốt là người anh tìm đến không phải để giết thời gian mà để cho thời gian bên nhau tăng thêm giá trị.|M. Prust
Nguy hiểm nhất là đứng trước bò, sau lưng ngựa và ở cạnh người ngu.|Ngạn ngữ Đức
Đọc sách là một phần đối với bổn phận của người phong nhã.|C. D. Pi-săng
Ngay cả trí tuệ thông minh nhất vẫn còn có điều phải học.|G. Xan-tai-an-na
Tâm hồn lớn lao của người phụ nữ giống như một dòng sông: nó tạo nên cuộc sống tươi xanh ở hai bờ nhưng bản thân lại hướng ra biển cả.|P. Revedy
Ngẫm cho kỹ, cái nhà to lớn, sức một cây cột không thể chống đỡ; sự nghiệp thái bình, sức một người không thể đảm trách.|Chiếu cầu hiền - Quang Trung
Có thể ăn nửa bữa, ngủ nửa đêm, nhưng không thể đi nửa đường chân lý, yêu bằng nửa trái tim.|Ngạn ngữ Anh
Làm mất tự do của người khác thì chính mình cũng không được tự do.|N. Mandela
Cái gì thuộc về nhân loại đều là bất diệt.|E. Bun-ve-lít-tông
Kẻ nào không có tình yêu thì đánh giá các tặng vật của người yêu theo tính thực dụng của chúng.|R. Tagore
Ngôn mà không chuyển tải tư tưởng thì sẽ không vươn tới được trời cao.|W. Shakespeare
Có láng giềng tốt sẽ có những tháng ngày yên lành.|Ngạn ngữ Nga
Thành đạt không phải do sự giúp đỡ của người khác mà chính do lòng tự tin.|A. Lin-côn
Sự hùng biện giúp ta làm chủ trái tim người khác.|Ngạn ngữ Phần Lan
Đa số người ta đều thành công ở những việc nhỏ nếu họ không bị rối loạn bởi những tham vọng quá lớn.|Longfellow
Nếu nết xấu là cái hại nhưng càng hại hơn khi không muốn nhìn nhận thực tế vì như thế còn thêm vào cái hại về nỗi tự mê muội.|B. Patscal
Trên đời có một điều tệ hại hơn cả sự thất bại, đó là sự hèn nhát.|F. Roosevell
Siêng năng là của báu vô giá, thận trọng là lá bùa hộ mệnh.|Thái Công
Đôi khi một khoảnh khắc sáng suốt có giá trị bằng cả kinh nghiệm của một cuộc sống.|Hô-me
Một sự thất vọng âm thầm, không vật vã mình, không oán trách trời. Ấy mới là sự khôn ngoan.|J. Green
Hãy mang lại niềm vui cho người khác và bạn sẽ thấy niềm vui tạo ra niềm vui.|G. Fi-se
Người học trò giỏi không phải là người lặp lại thầy mình, mà là người biết đưa con đường của thầy vạch ra tới những cái đích xa hơn.|Xi-kê-rốt
Con người phải có các đồ ăn thức uống mới nuôi được khí huyết, phải có công phu học tập mới nuôi được trí óc khôn. Hai thứ ấy phải tự làm mới được.|R. Albeeti
Phụ nữ muốn thành đạt thì phải có vài phần trăm phẩm chất của người đàn ông.|J. Fonda
Ai cũng có ba tuổi xuân: tuổi xuân của thân thể, tuổi xuân của tâm hồn, tuổi xuân của trí tuệ.|F. Phê-nơ-lông
Sự già nua chỉ lấy mất ở người tài trí những tính chất bất lợi của sự khôn ngoan.|J. Jonbert
Kinh nghiệm bao thế kỷ chứng minh rằng: sự sợ sệt về hình phạt lương tâm không bao giờ ngăn cản được những tên gian ác muốn làm rối loạn xã hội.|C. Bonessana
Hãy nhớ rằng: không thể làm được điều gì tuyệt vời vì ganh đua, không thể làm gì cao thượng ngoài kiêu ngạo.|L. Tônxtôi
Thất vọng là bởi không có chí, mà cũng bởi hy vọng quá cao không xứng đáng với lực mình, như thuyền nhỏ chở đầy, người yếu gánh nặng.|Nguyễn Bá Học
Người xuất chúng là người biết chấp nhận sự thật và đương đầu với nó một cách kiên cường.|S. Kadte
Điều gì làm tôi tự hào nhất? Tôi đã trải qua những thời kỳ gian khó mà vẫn giữ được tâm hồn lành mạnh.|J. P. Kennedy
Quá khứ bao giờ cũng kỳ diệu và thơ mộng nhưng cảm nhận được cái đẹp vô song của hiện tại còn khó hơn rất nhiều.|X. Lôbanôp
Bao nhiêu sức mạnh của nhân loại đều ẩn chứa trong tiềm lực cá nhân. Vì vậy vấn đề lớn nhất của xã hội là giúp các năng lực của con người được tự do phát triển.|D. J. Hill
Thuộc lòng không phải là tri thức, đó chỉ là trữ vào trí nhớ những gì người ta dạy cho mình.|Montaigne
Nếu Thượng đế sáng tạo ra phụ nữ trước thì Người sẽ thôi không sinh ra các loài hoa.|V. Hugo
Danh vọng của các vĩ nhân một phần là ở sự can trường, hai phần ở sự may mắn và phần còn lại là do sự mưu lược của chính họ.|V. Foscolo
Sau vụ thất bát, vẫn cần phải gieo hạt.|L. Xê-nê-ca
Cảm xúc chính đáng là phải ở sự xét đoán mà ra chứ không phải dùng cảm xúc mà xét đoán.|Duclos
Trong mọi công việc phải tuân thủ nguyên tắc: sự thật, trung thực và hữu ích.|G. Mac-mô-ten
Nói dối luôn khởi đầu từ sự sợ sệt hay từ quyền lợi riêng và như thế là do ở sự hèn hạ mà ra vậy.|Duclos
Một sự nghiệp cao cả chỉ có thể được tạo bởi hai bàn tay trong sạch. Có như vậy, khi đứng trên bục vinh quang, bạn mới cảm thấy hoàn toàn hạnh phúc.|V. Hugo
Xây dựng đất nước phải lấy dạy học làm đầu, tìm lẽ trị bình lấy tuyển nhân tài làm gốc.|Chiếu lập học - Quang Trung
Tôi không biết có thứ tự do nào không kèm theo những điều kiện nhất định. Nếu đại bàng cho rằng nó bị đôi cánh ràng buộc thì đại bàng không thể tự do bay lượn trên bầu trời.|Lão Xá
Tôi vẫn còn một trái tim, một dòng máu nóng, một tấm lòng để yêu, để cảm thông và chia sẻ.|F. Doxtoiepxki
Nếu người nào không sống những ngày của đời mình trong cõi ước mơ thì họ sẽ là nô lệ của những chuỗi ngày ấy.|H. Gibron
Ý nghĩa cuộc đời một con người là ở chỗ phải trở thành nguồn nhiệt lượng và ánh sáng cho người khác.|S. Rô-bin-xơn
Trẻ trung mãi lên cùng năm tháng - đó là nghệ thuật sống chân chính.|E. Ten-lơ-man
Hạnh phúc của tuổi trẻ là sức mạnh và vẻ đẹp. Hạnh phúc của tuổi già là trí tuệ và sự hưng thịnh.|Democritus
Tuổi trẻ cần cả tình yêu và tình bạn. Tình yêu làm tuổi trẻ rực rỡ, còn tình bạn lại làm cho nó ngọt ngào.|Roy Fuller
